Date,UK EQUITY,EUR EQUITY,NA EQUITY,ASIA EQUITY,JPN EQUITY,EM EQUITY,WORLD EQUITY EX UK,ABSOLUTE RETURN,PROPERTY,GILTS,GBP CREDIT,LIBOR,LIBOR PLUS 3,GLOBAL AGG,GLOBAL IG,EM DEBT,GLOBAL HY,GBP NON-GILTS BBB 1-5YRS
31/08/2011,-0.071353237,-0.114345413,-0.048642339,-0.08386144,-0.069613798,-0.086761304,-0.064947051,-0.015107425,0.006110721,0.017331195,-0.02237018,0.000738542,0.003238542,0.027264949,0.003005665,0.014969555,-0.045144375,-0.02058496
30/09/2011,-0.051365651,-0.099929905,-0.037526829,-0.109521237,0.018904657,-0.120670193,-0.053197694,0.011275121,0.006413458,0.02785584,-0.016826975,0.00079375,0.00329375,0.018487065,0.008185958,-0.003619887,-0.049392021,-0.027968864
31/10/2011,0.075953872,0.085435177,0.066299443,0.093774344,-0.036930479,0.092056532,0.065714823,0.031297437,0.00591505,0.000726402,0.024020038,0.000822242,0.003322242,-0.019396625,0.002207669,0.013829487,0.065556662,0.01954468
30/11/2011,-0.003739962,-0.030973056,0.01833332,-0.05856447,-0.016633632,-0.043172072,-0.000247838,-0.020907733,0.00527303,0.010655303,-0.026653857,0.000865208,0.003365208,0.009990386,-0.007273916,0.020336036,-0.033142453,-0.025325586
31/12/2011,0.00836825,-0.018692908,0.016491959,0.012528224,0.02071598,6.97802E-05,0.011083154,0.021800457,0.004736977,0.02498804,0.024829664,0.00090005,0.00340005,0.020533439,0.023294488,0.024728855,0.019551038,0.015160833
31/01/2012,0.026786839,0.043391476,0.031104305,0.08156715,0.02971438,0.091161283,0.034311607,0.029454837,0.003868272,0.003916311,0.026228476,0.0009025,0.0034025,-0.000480188,0.011956947,0.002103912,0.037987434,0.034285194
29/02/2012,0.041996082,0.055172459,0.027422455,0.035683748,0.029607715,0.045371337,0.03372709,0.016754169,0.002577777,-0.004540473,0.018791309,0.000883025,0.003383025,-0.012781022,0.00347925,0.017210545,0.032269765,0.021684823
31/03/2012,-0.009539151,-0.011997361,0.024836923,-0.03571752,-0.001423404,-0.039211024,0.009602518,0.005381687,0.002356111,-0.00197184,0.006384901,0.000855733,0.003355733,-0.010766381,-0.008064959,-0.002444431,0.001197063,0.007084498
30/04/2012,-0.00328659,-0.065865799,-0.022198817,-0.011086483,-0.05029095,-0.030008413,-0.031430472,-0.003820849,0.002264722,0.005218564,-0.004981656,0.00084375,0.00334375,-0.003350097,-0.00601798,0.002337109,0.00675133,-0.007892926
31/05/2012,-0.070389729,-0.100958528,-0.015024305,-0.063930907,-0.032337144,-0.072370304,-0.039036246,-0.013992233,0.000366677,0.038384271,0.009740811,0.000827608,0.003327608,0.044014231,0.035100492,0.023599759,-0.0270751,-0.007614047
